Num features,BT+HMO+MHV,BT+HTC+MHV,BT+HMO+MCF,BT+HTC+MCF,BT+HMO+MVW,BT+HTC+MVW,B&B+HTC+MHV,BestFS+HTC+MHV,B&B+HTC+MCF,BestFS+HTC+MCF,B&B+HTC+MVW,BestFS+HTC+MVW,B&B+HMO+MHV,BestFS+HMO+MHV,B&B+HMO+MCF,BestFS+HMO+MCF,B&B+HMO+MVW,BestFS+HMO+MVW
10,0.04987086,0.050313575,0.018453715,0.022260295,0.01723189,0.021261305,0.050692195,0.04813507,0.02334375,0.02115206,0.02270007,0.020601625,0.057958895,0.055604135,0.019620075,0.01742848,0.025028655,0.022647715
20,0.17412581,0.232508505,0.05505516,0.05181788,0.04214689,0.04954764,0.19123382,0.17676012,0.06172774,0.050529155,0.069038085,0.052873645,0.29074415,0.25737693,0.06676052,0.04759475,0.681915855,0.276841235
30,0.33471862,0.35304268,0.07700239,0.089849465,0.076820355,0.089409655,0.362263675,0.349231655,0.110054975,0.09491722,0.20821818,0.19883697,1.60177643,1.677644365,0.13860486,0.113501945,3.09326786,3.08703652
40,0.440110655,0.454460595,0.09375509,0.105437175,0.091631895,0.107589475,0.46818144,0.457690515,0.13691996,0.114879565,0.16791633,0.15504886,10.31863714,11.84855768,0.293197915,0.23710445,22.07724496,25.74352275
50,0.634475535,0.659084715,0.14432066,0.164686355,0.141706685,0.165397075,0.674765655,0.717618855,0.31856443,0.310704945,0.65566694,0.663044235,133.5903792,226.209862,0.89436735,0.802508235,308.3958746,429.6114437
60,0.93432849,0.93909625,0.192260545,0.22327729,0.192694495,0.221928835,0.96542536,0.952834535,0.302130615,0.29056644,1.315867115,1.36490793,0,0,2.24018526,2.026991095,0,0
70,1.17720695,1.309464015,0.280822585,0.326206865,0.28079495,0.322911275,1.26489672,1.29650046,0.620464845,0.608284775,1.023244485,0.99327034,0,0,6.671146545,6.55106673,0,0
80,1.55539766,1.629502025,0.373168115,0.426183025,0.374181655,0.429300895,1.767451585,1.818308345,1.062596745,1.05339911,2.918258105,2.88533949,0,0,30.65430092,31.13921764,0,0
90,1.87189561,2.106747215,0.496718185,0.60309466,0.50090202,0.57346861,2.12952303,2.11719583,2.56127189,2.545478845,101.6314258,160.3792159,0,0,116.3052816,127.4360836,0,0
100,2.358259865,2.48669712,0.619260535,0.71277539,0.620272595,0.71055173,2.823416665,2.891828565,3.96894419,3.829914115,22.11972101,24.0655157,0,0,312.3984335,430.4783402,0,0
110,2.894282335,3.022437035,0.72940002,0.829992185,0.729316935,0.832329485,3.54595325,3.47521865,6.99811943,6.978452705,65.71681793,70.94703863,0,0,0,0,0,0
120,3.340791775,3.516352,0.915815115,1.057042695,0.926096255,1.065510785,4.04032398,3.9787361,13.21890912,13.34577804,115.4043917,120.4100361,0,0,0,0,0,0
130,3.88668916,4.187632875,1.08240477,1.24395149,1.08884728,1.272263925,5.121330775,5.05228827,48.76579089,52.02834691,367.3661163,433.5150544,0,0,0,0,0,0
140,4.579258985,4.763818795,1.301841895,1.4858338,1.27499444,1.532653915,6.608297545,6.573967835,91.2920122,95.54356589,440.7115784,504.1687089,0,0,0,0,0,0
150,5.102814475,5.407877955,1.478875845,1.717857425,1.50562869,1.74117787,7.804874145,7.806743895,0,0,0,0,0,0,0,0,0,0
160,5.842593175,6.291822915,1.662008575,1.959706265,1.66485409,2.005632255,8.860438715,8.82552783,0,0,0,0,0,0,0,0,0,0
170,6.68402277,7.142163335,1.874559135,2.18226565,1.902870165,2.22494848,11.50136479,11.51884277,0,0,0,0,0,0,0,0,0,0
180,7.328622195,7.867809085,2.093533145,2.531409905,2.135503935,2.54744912,13.79161029,13.92283778,0,0,0,0,0,0,0,0,0,0
190,8.16849655,8.75972853,2.42897703,2.928524765,2.559490925,2.919038675,29.95012186,31.25253901,0,0,0,0,0,0,0,0,0,0
200,9.251127055,9.929751775,2.597598175,3.05029958,2.633831235,3.102301015,21.24097634,21.70545594,0,0,0,0,0,0,0,0,0,0
210,10.15707165,10.89511008,2.895745855,3.40848287,2.948283165,3.47623361,24.18656251,24.31988838,0,0,0,0,0,0,0,0,0,0
220,10.84001272,11.71855936,3.19241403,3.818550955,3.22813739,3.85653299,34.11115911,34.44385935,0,0,0,0,0,0,0,0,0,0
230,11.78642663,12.77826547,3.502198605,4.08721832,3.547078955,4.149114915,39.53713975,39.3743392,0,0,0,0,0,0,0,0,0,0
240,12.61501206,13.81590789,3.851070595,4.628148335,4.029876805,4.622715085,58.34863222,60.01138795,0,0,0,0,0,0,0,0,0,0
250,13.72690305,15.02028995,4.15497057,5.059501085,4.2093907,5.01518873,0,0,0,0,0,0,0,0,0,0,0,0
260,15.20408676,16.53515283,4.497133545,5.31222243,4.533446695,5.44722296,0,0,0,0,0,0,0,0,0,0,0,0
270,16.16721991,17.46661825,4.905292525,5.72654864,4.94992524,5.883984305,0,0,0,0,0,0,0,0,0,0,0,0
280,17.47892943,18.91955825,5.277305765,6.195325625,5.349747175,6.27142078,0,0,0,0,0,0,0,0,0,0,0,0
290,18.58754243,19.98001579,5.668368335,6.517173915,5.74154663,6.67708956,0,0,0,0,0,0,0,0,0,0,0,0
300,20.18998007,21.84781063,5.99429266,7.017490495,6.095080015,7.08682425,0,0,0,0,0,0,0,0,0,0,0,0
310,21.51252989,23.05386742,6.39988864,7.416946905,6.51157467,7.60783855,0,0,0,0,0,0,0,0,0,0,0,0
320,22.83570451,24.49328311,6.97656392,7.86759354,7.07297668,8.133786655,0,0,0,0,0,0,0,0,0,0,0,0
330,24.30615885,26.09325531,7.38291565,8.40369469,7.48717184,8.639645735,0,0,0,0,0,0,0,0,0,0,0,0
340,25.82715393,27.77194099,7.876714045,8.987281375,7.946688575,9.286975615,0,0,0,0,0,0,0,0,0,0,0,0
350,27.32417039,29.43498936,8.25119719,9.47806097,8.46241674,9.70698119,0,0,0,0,0,0,0,0,0,0,0,0
360,29.04354377,31.29532958,8.844278595,10.02879743,8.919233475,10.29437893,0,0,0,0,0,0,0,0,0,0,0,0
370,29.72230539,32.05050235,9.162215395,10.32194578,9.286838735,10.66232782,0,0,0,0,0,0,0,0,0,0,0,0
380,31.50999311,33.62772195,9.669403985,10.95546451,9.82108314,11.10658004,0,0,0,0,0,0,0,0,0,0,0,0
390,33.40403252,36.07116681,10.0863355,11.60787087,10.17358555,11.95640935,0,0,0,0,0,0,0,0,0,0,0,0
400,34.87728292,37.44892912,10.70192333,12.13904405,10.83069416,12.48294145,0,0,0,0,0,0,0,0,0,0,0,0
410,36.51982431,39.52030687,11.19120737,12.71309078,11.3773866,12.9375389,0,0,0,0,0,0,0,0,0,0,0,0
420,38.35905759,41.16314237,11.7679511,13.26485543,11.95482496,13.66329822,0,0,0,0,0,0,0,0,0,0,0,0
430,40.6177329,43.72613274,12.19282933,14.14657231,12.54435891,14.41501973,0,0,0,0,0,0,0,0,0,0,0,0
440,42.46143984,45.89152769,12.86699214,14.75096445,13.0911126,15.17936246,0,0,0,0,0,0,0,0,0,0,0,0
450,44.57885268,47.83479867,13.68150435,15.43488853,13.98636688,15.84377422,0,0,0,0,0,0,0,0,0,0,0,0
460,46.63014723,49.68528738,14.36626139,15.97125616,14.57137482,16.67087428,0,0,0,0,0,0,0,0,0,0,0,0
470,48.38855258,52.20249886,14.90248193,16.78091323,15.1598152,17.27344176,0,0,0,0,0,0,0,0,0,0,0,0
480,50.8263559,54.88360591,15.34359595,17.6779805,15.67215753,18.17217647,0,0,0,0,0,0,0,0,0,0,0,0
490,53.01670677,57.36039471,16.07625217,18.4370167,16.41321625,18.85687958,0,0,0,0,0,0,0,0,0,0,0,0
500,55.12451844,59.56461928,16.8510683,19.08576197,17.08394088,19.61663377,0,0,0,0,0,0,0,0,0,0,0,0
510,57.75277516,61.4864629,17.98557202,19.80104362,18.15233061,20.26096371,0,0,0,0,0,0,0,0,0,0,0,0
